217437 116 199 1
218437 116 199 1
219437 115 199 1
220437 115 199 1
221312 115 199 1
222312 116 199 1
223250 117 199 1
224250 116 199 1
225250 111 199 1
226187 112 199 1
227062 116 199 1
228062 116 199 1
229000 118 199 1
229937 114 199 1
232937 410 98 1
233937 414 183 1
235250 419 175 1
239750 124 70 1
240750 122 199 1
241750 125 199 1
242625 128 191 1
243625 126 199 1
244687 127 191 1
245750 129 183 1
246812 128 191 1
247875 129 175 1
248937 135 183 1
250250 136 175 1
251562 135 167 1
255062 143 84 1
259625 154 70 1
264625 165 35 1
269500 169 40 1
274437 1 25 1
279312 1 20 1
281875 211 112 1
282875 201 199 1
283750 200 199 1
284562 198 199 1
285437 196 199 1
286312 193 199 1
287125 192 199 1
288000 191 199 1
288875 190 199 1
289687 189 199 1
290562 187 199 1
291437 186 199 1
292250 184 199 1
293125 184 199 1
294125 182 199 1
294937 181 199 1
295812 180 199 1
296687 180 199 1
297500 180 199 1
298375 180 199 1
299250 178 199 1
300062 178 199 1
300937 178 199 1
301812 178 199 1
302625 179 199 1
303500 178 199 1
304375 180 199 1
305187 182 199 1
306062 179 199 1
306937 179 199 1
307750 180 199 1
308625 180 199 1
309500 180 199 1
310312 178 199 1
311187 180 199 1
312250 164 191 1
313250 132 191 1
314250 121 199 1
315250 123 199 1
316062 123 199 1
316937 174 199 1
317937 173 199 1
318937 142 191 1
319875 133 199 1
320687 126 199 1
321562 126 199 1
322562 128 199 1
323437 126 199 1
324250 126 199 1
327750 107 84 1
328937 83 175 1
329937 69 183 1
330937 62 183 1
332000 64 183 1
333062 62 183 1
334125 56 183 1
335250 48 191 1
336312 47 183 1
337375 48 183 1
338437 44 183 1
339500 43 191 1
340562 39 183 1
341562 43 191 1
342625 40 183 1
347625 33 30 1
351250 37 84 1
352187 37 191 1
353375 35 183 1
354437 37 175 1
355500 37 183 1
356562 37 183 1
357812 38 159 1
359062 40 167 1
312 43 175 1
1687 47 167 1
2875 45 175 1
4062 42 167 1
8312 49 70 1
9625 53 159 1
10875 53 175 1
12000 61 167 1
13187 58 167 1
14500 60 159 1
15687 64 167 1
16687 71 183 1
17750 75 183 1
18812 84 175 1
19875 82 183 1
20875 87 183 1
22062 84 183 1
